geography,date,sex,age,isced11,Population_in_thousands,Country_Name,Life_expectancy_in_years
AT,2008,F,Y50-54,TOTAL,279.9,Austria,83.3
AT,2008,F,Y15-74,ED0-2,1019,Austria,83.3
AT,2008,F,Y45-49,ED5-8,48.9,Austria,83.3
AT,2008,F,Y30-34,ED0-2,43,Austria,83.3
AT,2008,F,Y50-74,ED3_4,568.7,Austria,83.3
AT,2008,F,Y25-74,TOTAL,2702,Austria,83.3
AT,2008,F,Y25-54,ED3_4,1127.7,Austria,83.3
AT,2008,F,Y40-59,ED3_4,703.5,Austria,83.3
AT,2008,F,Y65-69,ED0-2,117.5,Austria,83.3
AT,2008,F,Y20-24,ED5-8,11.6,Austria,83.3
AT,2008,F,Y20-64,ED3_4,1575.3,Austria,83.3
AT,2008,F,Y15-24,TOTAL,496,Austria,83.3
AT,2008,F,Y55-59,ED0-2,91.2,Austria,83.3
AT,2008,F,Y50-59,ED0-2,182.8,Austria,83.3
AT,2008,F,Y25-64,ED0-2,566.3,Austria,83.3
AT,2008,F,Y40-59,TOTAL,1208.9,Austria,83.3
AT,2008,F,Y25-74,ED5-8,374.9,Austria,83.3
AT,2008,F,Y15-39,ED3_4,802.8,Austria,83.3
AT,2008,F,Y50-74,ED5-8,105.8,Austria,83.3
AT,2008,F,Y60-64,ED3_4,113,Austria,83.3
AT,2008,F,Y15-64,ED5-8,365.3,Austria,83.3
AT,2008,F,Y25-59,ED3_4,1258.9,Austria,83.3
AT,2008,F,Y20-64,ED5-8,365.2,Austria,83.3
AT,2008,F,Y15-64,ED0-2,803.1,Austria,83.3
AT,2008,F,Y30-34,TOTAL,268.4,Austria,83.3
AT,2008,F,Y25-59,TOTAL,2064.7,Austria,83.3
AT,2008,F,Y15-74,ED3_4,1792.3,Austria,83.3
AT,2008,F,Y25-64,ED5-8,353.5,Austria,83.3
AT,2008,F,Y35-39,ED5-8,59,Austria,83.3
AT,2008,F,Y50-64,ED0-2,276,Austria,83.3
