unit,sex,statinfo,geography,date,value
YR,F,LE_0,AT,2008,83.3
YR,F,LE_0,BE,2008,82.6
YR,F,LE_0,BG,2008,77.0
YR,F,LE_0,CH,2008,84.6
YR,F,LE_0,CY,2008,82.9
YR,F,LE_0,CZ,2008,80.5
YR,F,LE_0,DE,2008,82.7
YR,F,LE_0,DK,2008,81.0
YR,F,LE_0,EE,2008,79.5
YR,F,LE_0,EL,2008,83.0
YR,F,LE_0,ES,2008,84.6
YR,F,LE_0,EU27_2020,2008,82.4
YR,F,LE_0,EU28,2008,82.3
YR,F,LE_0,FI,2008,83.3
YR,F,LE_0,FR,2008,84.8
YR,F,LE_0,HR,2008,79.7
YR,F,LE_0,HU,2008,78.3
YR,F,LE_0,IE,2008,82.4
YR,F,LE_0,IS,2008,83.3
YR,F,LE_0,IT,2008,84.2
YR,F,LE_0,LT,2008,77.6
YR,F,LE_0,LU,2008,83.1
YR,F,LE_0,LV,2008,77.5
YR,F,LE_0,MT,2008,82.3
YR,F,LE_0,NL,2008,82.5
YR,F,LE_0,NO,2008,83.2
YR,F,LE_0,PL,2008,80.0
YR,F,LE_0,PT,2008,82.7
YR,F,LE_0,RO,2008,77.5
YR,F,LE_0,SE,2008,83.3
YR,F,LE_0,SI,2008,82.6
YR,F,LE_0,SK,2008,79.0
YR,F,LE_0,UK,2008,81.8
YR,M,LE_0,AT,2008,77.7
YR,M,LE_0,BE,2008,76.9
YR,M,LE_0,BG,2008,69.8
YR,M,LE_0,CH,2008,79.8
YR,M,LE_0,CY,2008,78.2
YR,M,LE_0,CZ,2008,74.1
YR,M,LE_0,DE,2008,77.6
YR,M,LE_0,DK,2008,76.5
YR,M,LE_0,EE,2008,68.9
YR,M,LE_0,EL,2008,77.5
YR,M,LE_0,ES,2008,78.3
YR,M,LE_0,EU27_2020,2008,76.1
YR,M,LE_0,EU28,2008,76.3
YR,M,LE_0,FI,2008,76.5
YR,M,LE_0,FR,2008,77.8
YR,M,LE_0,HR,2008,72.3
YR,M,LE_0,HU,2008,70.0
YR,M,LE_0,IE,2008,77.9
YR,M,LE_0,IS,2008,80.0
YR,M,LE_0,IT,2008,78.9
YR,M,LE_0,LT,2008,65.9
