unit,sex,indic_he,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
YR,F,LE_0,AT	83.3 	83.2 	83.5 	83.8 	83.6 	83.8 	84.0 	83.7 	84.1 	84.0 	84.1 	84.2 
YR,F,LE_0,BE	82.6 	82.8 	83.0 	83.3 	83.1 	83.2 	83.9 	83.4 	84.0 	83.9 	83.9 	84.3 
YR,F,LE_0,BG	77.0 	77.4 	77.4 	77.8 	77.9 	78.6 	78.0 	78.2 	78.5 	78.4 	78.6 	78.8 
YR,F,LE_0,CH	84.6 	84.6 	84.9 	85.0 	84.9 	85.0 	85.4 	85.1 	85.6 	85.6 	85.7 	85.8 
YR,F,LE_0,CY	82.9 	83.5 	83.9 	83.1 	83.4 	85.0 	84.3 	83.7 	84.9 	84.2 	84.8 	84.4 
YR,F,LE_0,CZ	80.5 	80.5 	80.9 	81.1 	81.2 	81.3 	82.0 	81.6 	82.1 	82.0 	82.0 	82.2 
YR,F,LE_0,DE	82.7 	82.8 	83.0 	83.1 	83.1 	83.0 	83.6 	83.1 	83.5 	83.4 	83.3 	83.7 
YR,F,LE_0,DK	81.0 	81.1 	81.4 	81.9 	82.1 	82.4 	82.8 	82.7 	82.8 	83.1 	82.9 	83.5 
YR,F,LE_0,EE	79.5 	80.3 	80.8 	81.3 	81.5 	81.7 	81.9 	82.2 	82.2 	82.6 	82.7 	83.0 
YR,F,LE_0,EL	83.0 	83.3 	83.3 	83.6 	83.4 	84.0 	84.1 	83.7 	84.0 	83.9 	84.4 	84.2 
YR,F,LE_0,ES	84.6 	85.0 	85.5 	85.6 	85.5 	86.1 	86.2 	85.7 	86.3 	86.1 	86.3 	86.7 
YR,F,LE_0,EU27_2020	82.4 	82.6 	82.9 	83.1 	83.1 	83.3 	83.7 	83.3 	83.7 	83.6 	83.7 	84.0 
YR,F,LE_0,EU28	82.3 	82.6 	82.8 	83.1 	83.0 	83.3 	83.6 	83.3 	83.6 	83.6 	83.6 	: 
YR,F,LE_0,FI	83.3 	83.5 	83.5 	83.8 	83.7 	: 	84.1 	84.4 	84.4 	84.5 	84.5 	84.8 
YR,F,LE_0,FR	84.8 	85.0 	85.3 	85.7 	85.4 	85.6 	86.1 	85.6 	85.7 	85.7 	85.8 	85.9 
YR,F,LE_0,HR	79.7 	79.7 	79.9 	80.4 	80.6 	81.0 	81.0 	80.5 	81.3 	81.0 	81.5 	81.6 
YR,F,LE_0,HU	78.3 	78.4 	78.6 	78.7 	78.7 	79.1 	79.4 	79.0 	79.7 	79.3 	79.6 	79.7 
YR,F,LE_0,IE	82.4 	82.7 	83.1 	83.0 	83.1 	83.1 	83.5 	83.4 	83.6 	84.0 	84.1 	84.7 
YR,F,LE_0,IS	83.3 	83.8 	84.1 	84.1 	84.3 	83.7 	84.5 	83.8 	84.1 	84.3 	84.5 	84.7 
YR,F,LE_0,IT	84.2 	84.3 	: 	84.8 	84.8 	85.2 	85.6 	84.9 	85.6 	85.2 	85.6 	85.8 
YR,F,LE_0,LT	77.6 	78.7 	78.9 	79.3 	79.6 	79.6 	80.1 	79.7 	80.1 	80.5 	80.7 	81.2 
YR,F,LE_0,LU	83.1 	83.3 	83.5 	83.6 	83.8 	83.9 	85.2 	84.7 	85.4 	84.4 	84.6 	85.2 
YR,F,LE_0,LV	77.5 	77.7 	78.0 	78.8 	78.9 	78.9 	79.4 	79.5 	79.6 	79.7 	79.7 	80.1 
YR,F,LE_0,MT	82.3 	82.7 	83.6 	83.0 	83.0 	84.0 	84.3 	84.1 	84.4 	84.6 	84.6 	84.6 
YR,F,LE_0,NL	82.5 	82.9 	83.0 	83.1 	83.0 	83.2 	83.5 	83.2 	83.2 	83.4 	83.4 	83.7 
YR,F,LE_0,NO	83.2 	83.2 	83.3 	83.6 	83.5 	83.8 	84.2 	84.2 	84.2 	84.3 	84.5 	84.7 
YR,F,LE_0,PL	80.0 	80.1 	80.7 	81.1 	81.1 	81.2 	81.7 	81.6 	82.0 	81.8 	81.7 	81.9 
YR,F,LE_0,PT	82.7 	82.8 	83.2 	83.8 	83.6 	84.0 	84.4 	84.3 	84.3 	84.6 	84.5 	84.8 
YR,F,LE_0,RO	77.5 	77.7 	77.7 	78.2 	78.1 	78.7 	78.7 	78.6 	79.1 	79.0 	79.2 	79.5 
YR,F,LE_0,SE	83.3 	83.5 	83.6 	83.8 	: 	83.8 	84.2 	84.1 	84.1 	84.1 	84.3 	84.8 
YR,F,LE_0,SI	82.6 	82.7 	83.1 	83.3 	83.3 	83.6 	84.1 	83.9 	84.3 	84.0 	84.4 	84.5 
YR,F,LE_0,SK	79.0 	79.1 	79.3 	79.8 	79.9 	80.1 	80.5 	80.2 	80.7 	80.7 	80.8 	81.2 
YR,F,LE_0,UK	81.8 	82.4 	82.6 	83.0 	82.8 	82.9 	83.2 	82.8 	83.0 	83.1 	83.1 	: 
YR,M,LE_0,AT	77.7 	77.6 	77.8 	78.3 	78.4 	78.6 	79.1 	78.8 	79.3 	79.4 	79.4 	79.7 
YR,M,LE_0,BE	76.9 	77.4 	77.5 	78.0 	77.8 	78.1 	78.8 	78.7 	79.0 	79.2 	79.4 	79.8 
YR,M,LE_0,BG	69.8 	70.2 	70.3 	70.7 	70.9 	71.3 	71.1 	71.2 	71.3 	71.4 	71.5 	71.6 
YR,M,LE_0,CH	79.8 	79.9 	80.3 	80.5 	80.6 	80.7 	81.1 	80.8 	81.7 	81.6 	81.9 	82.1 
YR,M,LE_0,CY	78.2 	78.5 	79.2 	79.3 	78.9 	80.1 	80.3 	79.9 	80.5 	80.2 	80.9 	80.3 
YR,M,LE_0,CZ	74.1 	74.3 	74.5 	74.8 	75.1 	75.2 	75.8 	75.7 	76.1 	76.1 	76.2 	76.4 
YR,M,LE_0,DE	77.6 	77.8 	78.0 	77.9 	78.1 	78.1 	78.7 	78.3 	78.6 	78.7 	78.6 	79.0 
YR,M,LE_0,DK	76.5 	76.9 	77.2 	77.8 	78.1 	78.3 	78.7 	78.8 	79.0 	79.2 	79.1 	79.5 
YR,M,LE_0,EE	68.9 	70.0 	70.9 	71.4 	71.4 	72.8 	72.4 	73.2 	73.3 	73.8 	74.0 	74.5 
YR,M,LE_0,EL	77.5 	77.5 	78.0 	78.0 	78.0 	78.7 	78.8 	78.5 	78.9 	78.8 	79.3 	79.2 
YR,M,LE_0,ES	78.3 	78.8 	79.2 	79.5 	79.5 	80.2 	80.4 	80.1 	80.5 	80.6 	80.7 	81.1 
YR,M,LE_0,EU27_2020	76.1 	76.4 	76.7 	77.0 	77.1 	77.5 	77.9 	77.7 	78.0 	78.1 	78.2 	78.5 
YR,M,LE_0,EU28	76.3 	76.6 	76.9 	77.3 	77.4 	77.7 	78.1 	77.9 	78.2 	78.3 	78.3 	: 
YR,M,LE_0,FI	76.5 	76.6 	76.9 	77.3 	77.7 	: 	78.4 	78.7 	78.6 	78.9 	79.1 	79.3 
YR,M,LE_0,FR	77.8 	78.0 	78.2 	78.7 	78.7 	79.0 	79.5 	79.2 	79.5 	79.6 	79.7 	79.9 
YR,M,LE_0,HR	72.3 	72.8 	73.4 	73.8 	73.9 	74.5 	74.7 	74.4 	75.0 	74.9 	74.9 	75.5 
YR,M,LE_0,HU	70.0 	70.3 	70.7 	71.2 	71.6 	72.2 	72.3 	72.3 	72.6 	72.5 	72.7 	73.1 
YR,M,LE_0,IE	77.9 	77.8 	78.5 	78.6 	78.7 	78.9 	79.3 	79.6 	79.9 	80.4 	80.4 	80.8 
YR,M,LE_0,IS	80.0 	79.8 	79.8 	80.7 	81.6 	80.5 	81.3 	81.2 	80.4 	81.1 	81.3 	81.7 
YR,M,LE_0,IT	78.9 	79.1 	: 	79.7 	79.8 	80.3 	80.7 	80.3 	81.0 	80.8 	81.2 	81.4 
YR,M,LE_0,LT	65.9 	67.1 	67.6 	68.1 	68.4 	68.5 	69.2 	69.2 	69.5 	70.7 	70.9 	71.6 
YR,M,LE_0,LU	78.1 	78.1 	77.9 	78.5 	79.1 	79.8 	79.4 	80.0 	80.1 	79.9 	80.1 	80.2 
YR,M,LE_0,LV	66.5 	67.5 	67.9 	68.6 	68.9 	69.3 	69.1 	69.7 	69.8 	69.8 	70.1 	70.9 
YR,M,LE_0,MT	77.1 	77.9 	79.3 	78.6 	78.6 	79.6 	79.9 	79.8 	80.6 	80.2 	80.4 	81.2 
YR,M,LE_0,NL	78.4 	78.7 	78.9 	79.4 	79.3 	79.5 	80.0 	79.9 	80.0 	80.2 	80.3 	80.6 
YR,M,LE_0,NO	78.4 	78.7 	79.0 	79.1 	79.5 	79.8 	80.1 	80.5 	80.7 	81.0 	81.1 	81.3 
YR,M,LE_0,PL	71.3 	71.5 	72.2 	72.5 	72.6 	73.0 	73.7 	73.5 	73.9 	73.9 	73.7 	74.1 
YR,M,LE_0,PT	76.2 	76.5 	76.8 	77.3 	77.3 	77.6 	78.0 	78.1 	78.1 	78.4 	78.3 	78.7 
YR,M,LE_0,RO	69.7 	69.8 	70.0 	70.8 	70.9 	71.6 	71.3 	71.4 	71.7 	71.6 	71.7 	71.9 
YR,M,LE_0,SE	79.2 	79.4 	79.6 	79.9 	: 	80.2 	80.4 	80.4 	80.6 	80.8 	80.9 	81.5 
YR,M,LE_0,SI	75.5 	75.9 	76.4 	76.8 	77.1 	77.2 	78.2 	77.8 	78.2 	78.2 	78.5 	78.7 
YR,M,LE_0,SK	70.9 	71.4 	71.8 	72.3 	72.5 	72.9 	73.3 	73.1 	73.8 	73.8 	73.9 	74.3 
YR,M,LE_0,UK	77.7 	78.3 	78.6 	79.0 	79.1 	79.2 	79.5 	79.2 	79.4 	79.5 	79.5 	: 
