unit,sex,age,isced11,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 
THS,F,Y15-19,ED0-2,AT	149.8 	149.6 	149.2 	151.2 	155.0 	157.1 	155.9 b	184.7 	188.1 	195.2 	198.0 	199.0 	198.2 	197.6 	193.8 b	182.3 b	175.5 b	191.3 	189.3 	184.8 	189.1 	184.0 	182.4 b	166.4 	161.8 	162.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,BE	247.9 	243.4 	243.7 	238.6 b	224.1 	223.0 	223.4 b	225.3 	226.5 	225.5 	234.0 	229.3 	236.0 b	231.4 	232.3 	228.0 b	232.2 	237.2 	226.7 	226.8 	229.5 	236.9 b	231.6 b	225.0 	223.7 	230.1 	215.2 	222.9 	213.8 b	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,BG	128.4 	124.2 	120.6 	127.4 	126.3 	126.8 	125.8 b	133.5 	136.7 	149.5 b	162.5 b	206.0 	213.9 b	223.3 	231.6 b	234.6 b	244.7 	232.6 b	228.2 	206.0 b	210.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,CH	168.2 	166.3 	174.6 	172.7 	174.3 	174.8 	176.8 b	183.1 	187.9 	190.4 	185.4 b	198.0 	198.8 	199.4 	190.5 	191.2 b	194.6 	191.2 	186.6 	189.4 	188.8 	188.0 	188.7 b	177.0 	170.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,CY	16.8 	17.5 	16.9 	17.3 	17.5 	18.8 	20.6 b	19.9 	19.2 	19.2 	19.6 	20.4 b	17.6 	17.2 	17.6 	17.7 b	18.8 	17.8 	16.3 	16.7 	16.6 	19.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,CZ	208.9 	201.7 	202.8 	200.0 	199.2 	196.2 	197.0 b	208.3 	221.3 	241.4 b	253.8 	264.7 	275.1 	276.0 	276.6 	276.1 b	286.0 	290.1 b	289.4 	279.7 	260.7 	250.9 	257.1 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,DE	1547.4 bp	1628.5 	1634.2 	1646.6 	1664.8 	1701.5 	1680.2 b	1003.0 	1032.9 b	1060.0 	1802.2 b	1937.6 	2008.0 	2125.7 	2174.9 b	2205.3 b	2004.3 	2023.0 	1988.6 	1990.5 	641.7 	622.8 	: 	1920.2 	1812.5 b	1292.1 	1042.5 	1178.9 	1366.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,DK	150.5 	151.5 	151.4 	151.6 b	155.4 b	155.1 	157.1 b	157.9 	157.3 	158.0 	157.8 	154.6 	150.7 b	142.9 b	144.4 	136.8 b	137.4 	130.0 b	86.5 	82.9 	126.5 	122.5 	141.2 b	130.1 	145.3 	137.5 	126.7 	126.0 	151.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,EA19	6279.5 	6385.0 	6422.4 	6423.8 	6432.3 	6484.5 	6463.6 b	5790.3 	5859.9 	5988.4 	6805.8 	7024.6 	7123.4 	7228.7 	7287.8 	7333.2 b	7266.0 	7410.3 	7406.8 	7351.8 	6071.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,ED0-2,EE	26.7 	26.4 	25.7 	25.2 	24.5 	24.7 	25.1 b	26.7 	28.0 	30.0 	33.7 	35.7 	39.8 	40.5 	41.9 	40.9 b	41.5 	41.6 	40.0 	29.4 	36.3 b	35.0 	33.4 b	31.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
